Name,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,Senses,Languages,Additional
Guardian Portrait,5,22,None,1,1,10,14,10,10,None,None,Darkvision 60,"Common, Any","False, Innate Spellcasting"
Annis Hag,17,75,40,21,12,14,13,14,15,CON,"Deception, Perception",Darkvision 60,"COmmon, Giant, Sylvan",Innate Spellcasting
Bheur Hag,17,91,30,13,16,14,12,13,16,WIS,"Nature, Perception, Stealth, Survival",Darkvision 60,"Auran, Common, Giant","Graystaff Magic, Ice Walk, Innate Spellcasting"
Green Hag,17,82,30,18,12,16,13,14,14,None,"Arcana, Deception, Perception, Stealth",Darkvision 60,"Common, Draconic, Sylvan","Amphibious, Innate Spellcasting, Mimicry"
Night Hag,17,112,30,18,15,16,16,14,16,None,"Deception, Insight, Perception, Stealth",Darkvision 120,"Abyssal, Common, Infernal, Primordial","Innate Spellcasting, Magic Resistance"
Sea Hag,14,52,"30, swim 40",16,13,16,12,12,13,None,None,Darkvision 60,"Aquan, Common, Giant","Amphibious, Horrific Appearance"
Harpy,11,38,"20, fly 40",12,13,12,7,10,13,None,None,Normal,Common,None
Hell Hound,15,45,50,17,12,14,6,13,6,None,Perception,Darkvision 60,Infernal,"Keen Hearing, Keen Smell, Pack Tactics"
Helmed Horror,20,60,"30, fly 30",18,13,16,10,10,10,None,Perception,Blindsight 60,Creator,"Magic Resistance, Spell Immunity"
Hippogriff,11,19,"40, fly 60",17,13,13,2,12,8,None,Perception,Normal,None,Keen Sight
Hobgoblin,18,11,30,13,12,12,10,10,9,None,None,Darkvision 60,"Common, Goblin",Martial Advantage
Hobgoblin Captain,17,39,30,15,14,14,12,10,13,None,None,Darkvision 60,"Common, Goblin",Martial Advantage
Hobgoblin Devastator,13,45,30,13,12,14,16,13,11,None,Arcana,Darkvision 60,"Common, Goblin","Arcane Advantage, Army Arcana, Normal Spellcasting"
Hobgoblin Iron Shadow,15,32,40,14,16,15,14,15,11,None,"Acrobatics, Athletics, Stealth",Darkvision 60,"Common, Goblin","Normal Spellcasting, Unarmored Defense"
Hobgoblin Warlord,20,97,30,16,14,16,14,11,15,"INT, WIS, CHA",None,Darkvision 60,"Common, Goblin",Martial Advantage
Homunculus,13,5,"20, fly 40",4,15,11,10,10,7,None,None,Darkvision 60,Creator,Telepathic Bond
Hook Horror,15,75,"30, climb 30",18,10,15,6,12,7,None,Perception,"Blindsight 60, darkvision 10",None,"Echolocation, Keen Hearing"
Howler,16,90,40,17,16,15,5,20,6,None,Perception,Darkvision 60,Abyssal,Pack Tactics
Hulking Crab,17,76,"20, swim 30",19,8,16,3,11,3,None,Stealth,Blindsight 30,None,"Amphibious, Shell Camouflage"
Hydra,15,172,"30, swim 30",20,12,20,2,10,7,None,Perception,Darkvision 60,None,"Hold Breath, Multiple Heads, Reactive Heads, Wakeful"
Ice Toad,12,32,"30, swim 30",13,10,14,8,10,6,None,Perception,Darkvision 60,Own,"Amphibious, Cold Aura, Standing Leap"
Marut,22,432,"40, fly 30",28,12,26,19,15,18,"INT, WIS, CHA","Insight, Intimidation, Perception",Darkvision 60,All,"Immutable Form, Innate Spellcasting, Legendary Resistance, Magic Resistance"
Intellect Devourer,12,21,40,6,14,13,12,11,10,None,"Perception, Stealth",Blindsight 60,"Deep Speech, telepathy 60",Detect Sentience
Invisible Stalker,14,104,"50, fly 50",16,19,14,10,15,11,None,"Perception, Stealth",Darkvision 60,"Auran, Common","Invisibility, Faultless Tracker"
Jackalwere,12,18,40,11,15,11,13,11,10,None,"Deception, Perception, Stealth",Normal,Common,"Shapechanger, Keen Hearing, Keen Smell, Pack Tactics"
Jaculi,14,16,"30, climb 20",15,14,11,2,8,3,None,"Athletics, Perception, Stealth",Blindsight 30,None,"Camouflage, Keen Smell"
Kalka-Kylla,15,85,"30, swim 30",17,12,16,15,16,12,None,"Deception, Insight, Stealth",Blindsight 30,Olman,"Amphibious, False Appearance, Shell"
Kamadan,13,67,30,16,16,14,3,14,10,None,"Perception, Stealth",Normal,None,"Keen Smell, Pounce"
Kelpie,14,67,"10, swim 30",14,14,16,7,12,10,None,"Perception, Stealth",Blindsight 60,"Common, Sylvan","Amphibious, Seaweed Shape, False Appearance"
Kenku,13,13,30,10,16,10,11,10,10,None,"Deception, Perception, Stealth",Normal,"Auran, Common","Ambusher, Mimicry"
Ki-Rin,20,152,"60, fly 120",21,16,16,19,20,20,None,"Perception, Insight, Religion","Blindsight 30, darkvision 120","All, telepathy 120","Innate Spellcasting, Legendary Resistance, lair, Magic Resistance, Magic Weapons, Normal Spellcasting"
Kobold,12,5,30,7,15,9,8,7,8,None,None,Darkvision 60,"Common, Draconic","Sunlight Sensitivity, Pack Tactics"
Kobold Dragonshield,15,44,20,12,15,14,8,9,10,None,Perception,Darkvision 60,"Common, Draconic","Dragon's Resistance, Heart of the Dragon, Pack Tactics, Sunlight Sensitivity"
Kobold Inventor,12,13,30,7,15,12,8,7,8,None,Perception,Darkvision 60,"Common, Draconic","Pack Tactics, Sunlight Sensitivity"
Kobold Scale Sorcerer,15,27,30,7,15,14,10,9,14,None,"Arcana, Medicine",Darkvision 60,"COmmon, Draconic","Normal Spellcasting, Sorcery Points, Pack Tactics, Sunlight Sensitivity"
Winged Kobold,13,7,"30, fly 30",7,16,9,8,7,8,None,None,Darkvision 60,"Common, Draconic","Sunlight Sensitivity, Pack Tactics"
Korred,17,102,"30, burrow 30",23,14,20,10,15,9,None,"Athletics, Perception, Stealth","Darkvision 120, tremorsense 120","Dwarvish, Gnomish, Sylvan, Terran, Undercommon","Command Hair, Innate Spellcasting, Stone Camouflage, Stone's Strength"
Kraken,18,472,"20, swim 60",30,11,25,22,18,20,"STR, DEX, CON, INT, WIS",None,Truesight 120,"Abyssal, Celestial, Infernal, Primordial, telepathy 120","Amphibious, Freedom of Movement, Siege Monster, Lair, Legendary"
Malformed Kraken,17,172,"20, swim 40",25,11,20,11,15,15,"STR, CON, INT, WIS, CHA",None,Truesight 60,"Common, telepathy 60","Amphibious, Siege Monster"
Kruthik Hive Lord,20,102,"40, burrow 20, climb 40",19,16,17,10,14,10,None,None,"Darkvision 60, tremorsense 60",Own,"Keen Smell, Pack Tactics, Tunneler"
Adult Kruthik,18,39,"40, burrow 20, climb 40",15,16,15,7,12,8,None,None,"Darkvision 60, tremorsense 60",Own,"Keen Smell, Pack Tactics, Tunneler"
Young Kruthik,16,9,"30, burrow 10, climb 30",13,16,13,4,10,6,None,None,"Darkvision 30, tremorsense 60",Own,"Keen Smell, Pack Tactics, Tunneler"
Kuo-Toa,13,13,"30, swim 30",13,10,11,11,10,8,None,Perception,Darkvision 120,Undercommon,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity"
Kuo-Toa Archpriest,13,97,"30, swim 30",16,14,16,13,16,14,None,"Perception, Religion",Darkvision 120,Undercommon,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity, Normal Spellcasting"
Kuo-Toa Whip,11,65,"30, swim 30",14,10,14,12,14,11,None,"Perception, Religion",Darkvision 120,Undercommon,"Amphibious, Otherworldly Perception, Slippery, Sunlight Sensitivity, Normal Spellcasting"
Lamia,13,97,30,16,13,15,14,15,16,None,"Deception, Insight, Stealth",Darkvision 60,"Abyssal, Common",Innate Spellcasting
Leucrotta,14,67,50,18,14,15,9,12,6,None,"Deception, Perception",Darkvision 60,"Abyssal, Gnoll","Keen Smell, Kicking Retreat, Mimicry, Rampage"
Lich,17,135,30,11,16,16,20,14,16,"CON, INT, WIS","Arcana, History, Insight, Perception",Truesight 120,"Common, Any","Legendary, Rejuvenation, Normal Spellcasting, Turn Resistance, Lair"
Lizard King/Queen,15,78,"30, swim 30",17,12,15,11,11,15,"CON, WIS","Perception, Stealth, Survival",Darkvision 60,"Abyssal, Draconic","Hold Breath, Skewer"
Lizardfolk,15,22,"30, swim 30",15,10,13,7,12,7,None,"Perception, Stealth, Survival",Normal,Draconic,Hold Breath
Lizardfolk Shaman,13,27,"30, swim 30",15,10,13,10,15,8,None,"Perception, Stealth, Survival",Normal,Draconic,"Hold Breath, Normal Spellcasting"
Werebear,11,135,"40, climb 30",19,10,17,11,12,12,None,Perception,Normal,Common,"Shapechanger, Keen Smell"
Wereboar,11,78,40,17,10,15,10,11,8,None,Perception,Normal,Common,"Shapechanger, Charge, Relentless"
Wererat,12,33,30,10,15,12,11,10,8,None,"Perception, Stealth",Darkvision 60,Common,"Shapechanger, Keen Smell"
Wereraven,12,31,30,10,15,11,13,15,14,None,"Insight, Perception",Normal,Common,"Shapechanger, Mimicry"
Weretiger,12,120,40,17,15,16,10,13,11,None,"Perception, Stealth",Darkvision 60,Common,"Shapechanger, Keen Hearing, Keen Smell, Pounce"
Werewolf,12,58,40,15,13,14,10,11,10,None,"Perception, Stealth",Normal,Common,"Shapechanger, Keen Hearing, Keen Smell"
Magmin,14,9,30,7,15,12,8,11,10,None,None,Darkvision 60,Ignan,"Death Burst, Ignited Illumination"
Manticore,14,68,"30, fly 50",17,16,17,7,12,8,None,None,Darkvision 60,Common,Tail Spike Regrowth
Mantrap,12,45,5,15,14,12,1,10,2,None,None,Tremorsense 30,None,"Attractive Pollen, False Appearance"
Meazel,13,35,30,8,17,9,14,13,10,None,"Perception, Stealth",Darkvision 120,Common,Shadow Stealth
Medusa,15,127,30,10,15,16,12,13,15,None,"Deception, Insight, Perception, Stealth",Darkvision 60,Common,Petrifying Gaze
Meenlock,15,31,30,7,15,12,11,10,8,None,"Perception, Stealth, Survival",Darkvision 120,Telepathy 120,"Fear Aura, Light Sensitivity, Shadow Teleport"
Dust Mephit,12,17,"30, fly 30",5,14,10,9,11,10,None,"Perception, Stealth",Darkvision 60,"Auran, Terran","Death Burst, Innate Spellcasting"
Ice Mephit,11,21,"30, fly 30",7,13,10,9,11,12,None,"Perception, Stealth",Darkvision 60,"Aquan, Auran","Death Burst, False Appearance, Innate Spellcasting"
Magma Mephit,11,22,"30, fly 30",8,12,12,7,10,10,None,Stealth,Darkvision 60,"Ignan, Terran","Death Burst, False Appearance, Innate Spellcasting"
Mud Mephit,11,27,"20, fly 20, swim 20",8,12,12,9,11,7,None,Stealth,Darkivision 60,"Aquan, Terran","Death Burst, False Appearance"
Smoke Mephit,12,22,"30, fly 30",6,14,12,10,10,11,None,"Perception, Stealth",Darkvision 60,"Auran, Ignan","Death Burst, Innate Spellcasting"
Steam Mephit,10,21,"30, fly 30",5,11,10,11,10,12,None,None,Darkvision 60,"Aquan, Ignan","Death Burst, Innate Spellcasting"
Merfolk,11,11,"10, swim 40",10,13,12,11,11,12,None,Perception,Normal,"Aquan, Common",Amphibious
Merrow,13,45,"10, swim 40",18,10,15,8,10,9,None,"Death Burst, Innate Spellcasting",Darkvision 60,"Abyssal, Aquan",Amphibious
Mimic,12,58,15,17,12,15,5,13,8,None,Stealth,Darkvision 60,None,"Shapechanger, Adhesive, False Appearance, Grappler"
Mind Flayer,15,71,30,11,12,12,19,17,17,"INT, WIS, CHA","Arcana, Deception, Insight, Perception, Persuasion, Stealth","Darkvision 120,","Deep Speech, Undercommon, telepathy 120","Magic Resistance, Innate Spellcasting (Psionics)"
Alhoon,15,120,30,11,12,16,19,17,17,"CON, INT, WIS, CHA","Arcana, Deception, History, Insight, Perception, Stealth",Truesight 120,"Deep Speech, Undercommon, telepathy 120","Magic Resistance, Innate Spellcasting (Psionics), Normal Spellcasting, Turn Resistance"
Elder Brain,10,210,"5, swim 10",15,10,20,21,19,24,"INT, WIS, CHA","Arcana, Deception, Insight, Intimidation, Persuasion",Blindsight 120,"Common, Deep SPeech, Undercommon, telepathy 5 miles","Creature Sense, Innate Spellcasting (Psionics), Lair, Legendary Resistance, magic Resistance, Telepathic Hub"
Ulitharid,15,127,30,15,12,15,21,19,21,"INT, WIS, CHA","Arcana, Insight, Perception, Stealth",Darkvision 120,"Deep Speech, Undercommon, telepathy 2 miles","Creature Sense, Magic Resistance, Psionic Hub, Innate SPellcasting (Psionics)"
Mindwitness,15,75,fly 20,10,14,14,15,15,10,"INT, WIS",Perception,Darkvision 120,"Deep Speech, Undercommon, telepathy 600",Telepathic Hub
Minotaur,14,76,40,18,11,16,6,16,9,None,Perception,Darkvision 60,Abyssal,"Charge, Labyrinthine Recall, Reckless"
Ape,12,19,"30, climb 30",16,14,14,6,12,7,None,"Athletics, Perception",Normal,None,None
Awakened Shrub,9,10,20,3,8,11,10,10,6,None,None,Normal,Creator,False Appearance
Awakened Tree,13,59,20,19,6,15,10,10,7,None,None,Normal,Creator,False Appearance
Axe Beak,11,19,50,14,12,12,2,10,5,None,None,Normal,None,None
Baboon,12,3,"30, climb 30",8,14,11,4,12,6,None,None,Normal,None,Pack Tactics
Badger,10,3,"20, burrow 5",4,11,12,2,12,5,None,None,Darkvision 30,None,Keen Smell
Bat,12,1,"5, fly 30",2,15,8,2,12,4,None,None,Blindsight 60,None,"Echolocation, Keen Hearing"
Black Bear,11,19,"40, climb 30",15,10,14,2,12,7,None,Perception,Normal,None,Keen Smell
Blink Dog,13,22,40,12,17,12,10,13,11,None,"Perception, Stealth",Normal,"Own, Sylvan","Keen Hearing, Keen Smell, Pack Tactics"
Blood Hawk,12,7,"10, fly 60",6,14,10,3,14,5,None,Perception,Normal,None,"Keen Sight, Pack Tactics"
Boar,11,11,40,13,11,12,2,9,5,None,None,Normal,None,"Charge, Relentless"
Brown Bear,11,34,"40, climb 30",19,10,16,2,13,7,None,Perception,Normal,None,Keen Smell
Camel,9,15,50,16,8,14,2,8,5,None,None,Normal,None,None
Cat,12,2,"40, climb 30",3,15,10,3,12,7,None,"Perception, Stealth",Normal,None,Keen Smell
Constrictor Snake,12,13,"30, swim 30",15,14,12,1,10,3,None,None,Blindsight 10,None,None
Crab,11,2,"20, swim 20",2,11,10,1,8,2,None,Stealth,Blindsight 30,None,Amphibious
Crocodile,12,19,"20, swim 30",15,10,13,2,10,5,None,Stealth,Normal,None,Hold Breath
Death Dog,12,39,40,15,14,14,3,13,6,None,"Perception, Stealth",Darkvision 120,None,Two-Headed
Deer,13,4,50,11,16,11,2,14,5,None,None,Normal,None,None
Dire Wolf,14,37,50,17,15,15,3,12,7,None,"Perception, Stealth",Normal,None,"Keen Hearing, Keen Smell, Pack Tactics"
Draft Horse,10,19,40,18,10,12,2,11,7,None,None,Normal,None,None
Eagle,12,3,"10, fly 60",6,15,10,2,14,7,None,Perception,Normal,None,Keen Sight
Elephant,12,76,40,22,9,17,3,11,6,None,None,Normal,None,Trampling Charge
Elk,10,13,50,16,10,12,2,10,6,None,None,Normal,None,Charge
Flying Snake,14,5,"30, fly 60, swim 30",4,18,11,2,12,5,None,None,Blindsight 10,None,Flyby
Frog,11,1,"20, swim 20",1,13,8,1,8,3,None,"Perception, Stealth",Darkvision 30,None,"Amphibious, Standing Leap"
Giant Ape,12,157,"40, climb 40",23,14,18,7,12,7,None,"Athletics, Perception",Normal,None,None
Giant Badger,10,13,"30, burrow 10",13,10,15,2,12,5,None,None,Darkvision 30,None,Keen Smell
Giant Bat,13,22,"10, fly 60",15,16,11,2,12,6,None,None,Blindsight 60,None,"Echolocation, Keen Hearing"
Giant Boar,12,42,40,17,10,16,2,7,5,None,None,Normal,None,"Charge, Relentless"
Giant Centipede,13,4,30,5,14,12,1,7,3,None,None,Blindsight 30,None,None
Giant Constrictor Snake,12,60,"30, swim 30",19,14,12,1,10,3,None,Perception,Blindsight 10,None,None
Giant Crab,15,13,"30, swim 30",13,15,11,1,9,3,None,Stealth,Blindsight 30,None,Amphibious
Giant Crocodile,14,85,"30, swim 50",21,9,17,2,10,7,None,Stealth,Normal,None,Hold Breath
Giant Eagle,13,26,"10, fly 80",16,17,13,8,14,10,None,Perception,Normal,"Own, Common, Auran",Keen Sight
Giant Elk,14,42,60,19,16,14,7,14,10,None,Perception,Normal,"Own, Common, Elvish, Sylvan",Charge
Giant Fire Beetle,13,4,30,8,10,12,1,7,3,None,None,Blindsight 30,None,Illumination
Giant Frog,11,18,"30, swim 30",12,13,11,2,10,3,None,"Perception, Stealth",Darkvision 30,None,"Amphibious, Standing Leap"
Giant Goat,11,19,40,17,11,12,3,12,6,None,None,Normal,None,"Charge, Sure-Footed"
Giant Hyena,12,45,50,16,14,14,2,12,7,None,Perception,Normal,None,Rampage
Giant Lizard,12,19,"30, climb 30",15,12,13,2,10,5,None,None,Darkvision 30,None,None
Giant Octopus,11,52,"10, swim 60",17,13,13,4,10,4,None,"Perception, Stealth",Darkvision 60,None,"Hold Breath, Underwater Camouflage, Water Breathing"
Giant Owl,12,19,"5, fly 60",13,15,12,8,13,10,None,"Perception, Stealth",Darkvision 120,"Own, Common, Elvish, Sylvan","FLyby, Keen Hearing, Keen Sight"
Giant Poisonous Snake,14,11,"30, swim 30",10,18,13,2,10,3,None,Perception,Blindsight 10,None,None
Giant Rat,12,7,30,7,15,11,2,10,4,None,None,Darkvision 60,None,"Keen Smell, Pack Tactics"
Giant Scorpion,15,52,40,15,13,15,1,9,3,None,None,Blindsight 60,None,None
Giant Sea Horse,13,16,swim 40,12,15,11,2,12,5,None,None,Normal,None,"Charge, Water Breathing"
Giant Shark,13,126,swim 50,23,11,21,1,10,5,None,Perception,Blindsight 60,None,"Blood Frenzy, Water Breathing"
Giant Spider,14,26,"30, climb 30",14,16,12,2,11,4,None,Stealth,"Blindsight 10, darkvision 60",None,"Spider Climb, Web Sense, Web Walker"
Giant Toad,11,39,"20, swim 40",15,13,13,2,10,3,None,None,Darkvision 30,None,"Amphibious, Standing Leap"
Giant Vulture,10,22,"10, fly 60",15,10,15,6,12,7,None,Perception,Normal,Common,"Keen Sight, Keen Smell, Pack Tactics"
Giant Wasp,12,13,"10, fly 50",10,14,10,1,10,3,None,None,Normal,None,None
Giant Weasel,13,9,40,11,16,10,4,12,5,None,"Perception, Stealth",Darkvision 60,None,"Keen Hearing, Keen Smell"
Giant Wolf Spider,13,11,"40, climb 40",12,16,13,3,12,4,None,"Perception, Stealth","Blindsight 10, darkvision 60",None,"Spider Climb, Web Sense, Web Walker"
Goat,10,4,40,12,10,11,2,10,5,None,None,Normal,None,"Charge, Sure-Footed"
Hawk,13,1,"10, fly 60",5,16,8,2,14,6,None,Perception,Normal,None,Keen Sight
Hunter Shark,12,45,swim 40,18,13,15,1,10,4,None,Perception,Blindsight 30,None,"Blood Frenzy, Water Breathing"
Hyena,11,5,50,11,13,12,2,12,5,None,Perception,Normal,None,Pack Tactics
Jackal,12,3,40,8,15,11,3,12,6,None,Perception,Normal,None,"Keen Hearing, Keen Smell, Pack Tactics"
Killer Whale,12,90,swim 60,19,10,13,3,12,7,None,Perception,Blindsight 120,None,"Echolocation, Hold Breath, Keen Hearing"
Lion,12,26,50,17,15,13,3,12,8,None,"Perception, Stealth",Normal,None,"Keen Smell, Pack Tactics, Pounce, Running Leap"
Lizard,10,2,"20, climb 20",2,11,10,1,8,3,None,None,Darkvision 30,None,None
Mammoth,13,126,40,24,9,21,3,11,6,None,None,Normal,None,Trampling Charge
Mastiff,12,5,40,13,14,12,3,12,7,None,Perception,Normal,None,"Keen Hearing, Keen Smell"
Mule,10,11,40,14,10,13,2,10,5,None,None,Normal,None,"Beast of Burden, Sure-Footed"
Octopus,12,3,"5, swim 30",4,15,11,3,10,4,None,"Perception, Stealth",Darkvision 30,None,"Hold Breath, Underwater Camouflage, Water Breathing"
Owl,11,1,"5, fly 60",3,13,8,2,12,7,None,"Perception, Stealth",Darkvision 120,None,"FLyby, Keen Hearing, Keen Sight"
Panther,12,13,"50, climb 40",14,15,10,3,14,7,None,"Perception, Stealth",Normal,None,"Keen Smell, Pounce"
Phase Spider,13,32,"30, climb 30",15,15,12,6,10,6,None,Stealth,Darkvision 60,None,"Ethereal Jaunt, Spider Climb, Web Walker"
Poisonous Snake,13,13,"30, swim 30",2,16,11,1,10,3,None,None,Blindsight 10,None,None
Polar Bear,12,42,"40, swim 30",20,10,16,2,13,7,None,Perception,Normal,None,Keen Smell
Pony,10,11,40,15,10,13,2,11,7,None,None,Normal,None,None
Quipper,13,1,swim 40,2,16,9,1,7,2,None,None,Darkvision 60,None,"Blood Frenzy, Water Breathing"
Rat,10,1,20,2,11,9,2,10,4,None,None,Darkvision 30,None,Keen Smell
Raven,12,1,"10, fly 50",2,14,8,2,12,6,None,Perception,Normal,None,Mimicry
Reef Shark,12,22,swim 40,14,13,13,1,10,4,None,Perception,Blindsight 30,None,"Pack Tactics, Water Breathing"
Rhinoceros,11,45,40,21,8,15,2,12,6,None,None,Normal,None,Charge
Riding Horse,10,13,60,16,10,12,2,11,7,None,None,Normal,None,None
Saber-Toothed Tiger,12,52,40,18,14,15,3,12,8,None,"Perception, Stealth",Normal,None,"Keen Smell, Pounce"
Scorpion,11,1,10,2,11,8,1,8,2,None,None,Normal,None,None
Sea Horse,11,1,swim 20,1,12,8,1,10,2,None,None,Normal,None,Water Breathing
Spider,12,1,"20, climb 20",2,14,8,1,10,2,None,Stealth,Darkvision 30,None,"Spider Climb, Web Sense, Web Walker"
Swarm of Bats,12,22,fly 30,5,15,10,2,12,4,None,None,Blindsight 60,None,"Echolocation, Keen Hearing Swarm"
Swarm of Insects,12,22,"20, climb 20",3,13,10,1,7,1,None,None,Blindsight 10,None,Swarm
Swarm of Poisonous Snakes,14,36,"30, swim 30",8,18,11,1,10,3,None,None,Blindsight 10,None,Swarm
Swarm of Quippers,13,28,swim 40,13,16,9,1,7,2,None,None,Normal,None,"Blood Frenzy, Swarm, Water Breathing"
Swarm of Rats,10,24,30,9,11,9,2,10,3,None,None,Normal,None,"Keen Smell, Swarm"
Swarm of Ravens,12,24,"10, fly 50",6,14,8,3,12,6,None,Perception,Normal,None,Swarm
Tiger,12,37,40,17,15,14,3,12,8,None,"Perception, Stealth",Darkvision 60,None,"Keen Smell, Pounce"
Vulture,10,5,"10, fly 50",7,10,13,2,12,4,None,Perception,Normal,None,"Keen Sight, Keen Smell, Pack Tactics"
Warhorse,11,19,60,18,12,13,2,12,7,None,None,Normal,None,Trampling Charge
Weasel,13,1,30,3,16,8,2,12,3,None,"Perception, Stealth",Normal,None,"Keen Hearing, Keen Smell"
Winter Wolf,13,75,50,18,13,14,7,12,8,None,"Perception, Stealth",Normal,"Common, Giant, Own","Keen Hearing, Keen Smell, Pack Tactics, Snow Camouflage"
Wolf,13,11,40,12,15,12,3,12,6,None,"Perception, Stealth",Normal,None,"Keen Hearing, Keen Smell, Pack Tactics"
Worg,13,26,50,16,13,13,7,11,8,None,Perception,Darkvision 60,"Goblin, Own","Keen Hearing, Keen Smell"
Duodrone,15,11,30,11,13,12,6,10,7,None,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration"
Monodrone,15,5,"30, fly 30",1,13,12,4,10,5,None,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration"
Pentadrone,16,32,40,15,14,12,10,10,13,None,Perception,Truesight 120,Modron,"Axiomatic Mind, Disintegration"
Quadrone,16,22,"30, fly 30",12,14,12,10,10,11,None,Perception,Truesight 120,Modron,"Axiomatic Mind, Disintegration"
Tridrone,15,16,30,12,13,12,9,10,9,None,None,Truesight 120,Modron,"Axiomatic Mind, Disintegration"
Mongrelfolk,11,26,20,12,9,15,9,10,6,None,"Deception, Perception, Stealth",Normal,Common,Mimicry
Morkoth,17,130,"25, swim 50",14,14,14,20,15,13,"DEX, INT, WIS","Arcana, History, Perception, Stealth","Blindsight 30, darkvision 120",Telepathy 120,"Amphibious, Normal Spellcasting"
Mummy,11,58,20,16,8,15,6,10,12,WIS,None,Darkvision 60,Any,None
Mummy Lord,17,97,20,18,10,17,11,18,16,"CON, INT, WIS, CHA","History, Religion",Darkvision 60,Any,"Magic Resistance, Rejuvenation, Normal Spellcasting, Legendary, Lair"
Myconid Adult,12,22,20,10,10,12,10,13,7,None,None,Darkvision 120,None,"Distress Spores, Sun Sickness"
Myconid Sovereign,13,60,30,12,10,14,13,15,10,None,None,Darkvision 120,None,"Distress Spores, Sun Sickness"
Myconid Sprout,10,7,10,8,10,10,8,11,5,None,None,Darkvision 120,None,"Distress Spores, Sun Sickness"
Naergoth Bladelord,18,135,30,20,12,16,12,14,16,"DEX, WIS","Perception, Stealth",Darkvision 60,"Common, Draconic",Sunlight Sensitivity
Bone Naga,15,58,30,15,16,12,15,15,16,None,None,Darkvision 60,"Common, Any",Normal Spellcasting
Guardian Naga,18,127,40,19,18,16,16,19,18,"DEX, CON, INT, WIS, CHA",None,Darkvision 60,"Celestial, Common","Rejuvenation, Normal Spellcasting"
Spirit Naga,15,75,40,18,17,14,16,15,16,"DEX, CON, INT, WIS, CHA",None,Darkvision 60,Abyssal Common,"Rejuvenation, Normal Spellcasting"
Nagpa,19,187,30,9,15,12,23,18,21,"INT, WIS, CHA","Arcana, Deception, History, Insight, Perception",Truesight 120,"Common, Any","Corruption, Paralysis, Normal Spellcasting"
Neogi,15,33,"30, climb 30",6,16,14,13,12,15,None,"Intimidation, Perception",Darkvision 60,"Common, Deep SPeech, Undercommon","Mental Fortitude, Spider Climb"
Neogi Hatchling,11,7,"20, climb 20",3,13,10,6,10,9,None,None,Darkvision 60,None,"Mental Fortitude, Spider Climb"
Neogi Master,15,71,"30, climb 30",6,16,14,16,12,18,WIS,"Arcana, Deception, Intimidation, Perception, Persuasion",Darkvision 120,"Common, Deep Speech, Undercommon","Mental Fortitude, Normal Spellcasting, Spider Climb"
Neothelid,16,325,30,27,7,21,3,16,12,"INT, WIS, CHA",None,Blindsight 120,None,"Creature Sense, Innate Spellcasting (Psionics), Magic Resistance"
Nereid,13,44,"30, swim 60",10,17,12,13,14,16,None,"Acrobatics, Nature, Stealth, Survival",Darkvision 60,"Aquan, Common, Elvish, Sylvan","Amphibious, Aquatic Invisibility, Mantle Dependent, Shape Water, Speak with Animals"
Nightmare,13,68,"60, fly 90",18,15,16,10,13,15,None,None,Normal,"Abyssal, Common, Infernal","Confer Fire Resistance, Illumination"
Nightwalker,14,297,"40, fly 40",22,19,24,6,9,8,CON,None,Darkvision 120,None,"Annihilating Aura, Life Eater"
Nilbog,13,7,30,8,14,10,10,8,15,None,Stealth,Darkvision 60,"COmmon, Goblin","Innate Spellcasting, Nilbogism, Nimble Escape"
Nothic,15,45,30,14,16,16,13,10,8,None,"Arcana, Insight, Perception, Stealth",Truesight 120,Undercommon,Keen Sight
Abjurer,12,84,30,9,14,14,18,12,11,"INT, WIS","Arcana, History",Normal,Any,"Normal Spellcasting, Arcane Ward"
Acolyte,10,9,30,10,10,10,10,14,11,None,"Medicine, Religion",Normal,Any,Normal Spellcasting
Apprentice Wizard,10,9,30,10,10,10,14,10,11,None,"Arcana, History",Normal,Any,Normal Spellcasting
Archdruid,16,132,30,10,14,12,12,20,11,"INT, WIS","Medicine, Nature, Perception",Normal,"Druidic, Any",Normal Spellcasting
Archer,16,75,30,11,18,16,11,13,10,None,"Acrobatics, Perception, Stealth",Normal,Any,Archer's Eye
Archmage,12,99,30,10,14,12,20,15,16,"INT, WIS","Arcana, History",Normal,Any,"Magic Resistance, Normal Spellcasting"
Assassin,15,78,30,11,16,14,13,11,10,"DEX, INT","Acrobatics, Deception, Perception, Stealth",Normal,"Thieves' Cant, Any","Assassinate, Evasion, Sneak Attack"
Bandit,12,11,30,11,12,12,10,10,10,None,None,Normal,Any,None
Bandit Captain,15,65,30,15,16,14,14,11,14,"STR, DEX, WIS","Athletics, Deception",Normal,Any,None
Bard,15,44,30,11,14,12,10,13,14,"DEX, WIS","Acrobatics, Perception, Performance",Normal,Any,"Normal SPellcasting, Song of Rest, Taunt"
Berserker,13,67,30,16,12,17,9,11,9,None,None,Normal,Any,Reckless
Blackguard,18,153,30,18,11,18,11,14,15,"WIS, CHA","Athletics, Deception, Intimidation",Normal,Any,Normal Spellcasting
